timestamp,temperature_c,humidity_percent,temperature_status,flame_raw,flame_detected,flame_status,vibration_rms,vibration_g,vibration_status,overall_status,overall_alarm,machine_state,motor_command,fan_command,buzzer_command,emergency_stop
2026-06-13 18:28:08,23.9,64.1,NORMAL,781,0,NORMAL,0.177,0.018,NORMAL,NORMAL,0,RUNNING_WITH_WARNING,1,1,0,0
2026-06-13 18:28:09,26.1,48.0,NORMAL,796,0,NORMAL,1.187,0.121,CRITICAL,CRITICAL,1,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:10,37.8,79.8,WARNING,906,0,NORMAL,0.213,0.0217,NORMAL,WARNING,0,STOPPED_MAINTENANCE_REQUIRED,0,0,1,0
2026-06-13 18:28:11,23.5,67.6,NORMAL,867,0,NORMAL,0.141,0.0144,NORMAL,NORMAL,0,RUNNING_WITH_WARNING,1,1,0,0
2026-06-13 18:28:12,53.4,73.4,CRITICAL,930,0,NORMAL,0.095,0.0097,NORMAL,CRITICAL,1,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:13,26.0,54.6,NORMAL,867,0,NORMAL,0.077,0.0078,NORMAL,NORMAL,0,STOPPED_OVER_TEMPERATURE,0,1,1,0
2026-06-13 18:28:15,22.5,58.7,NORMAL,976,0,NORMAL,0.186,0.0189,NORMAL,NORMAL,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:16,40.9,81.5,WARNING,865,0,NORMAL,0.072,0.0073,NORMAL,WARNING,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:17,40.4,77.9,WARNING,848,0,NORMAL,0.071,0.0072,NORMAL,WARNING,0,RUNNING_WITH_WARNING,1,1,0,0
2026-06-13 18:28:18,27.7,49.1,NORMAL,815,0,NORMAL,0.543,0.0553,WARNING,WARNING,0,RUNNING_WITH_WARNING,1,1,0,0
2026-06-13 18:28:19,24.0,49.3,NORMAL,916,0,NORMAL,0.081,0.0083,NORMAL,NORMAL,0,RUNNING_WITH_WARNING,1,0,0,0
2026-06-13 18:28:20,21.0,53.3,NORMAL,804,0,NORMAL,0.202,0.0206,NORMAL,NORMAL,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:21,23.3,45.6,NORMAL,749,0,NORMAL,0.142,0.0144,NORMAL,NORMAL,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:22,26.9,57.9,NORMAL,701,0,NORMAL,0.117,0.012,NORMAL,NORMAL,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:23,36.2,75.6,WARNING,745,0,NORMAL,0.088,0.0089,NORMAL,WARNING,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:24,27.6,62.0,NORMAL,878,0,NORMAL,0.047,0.0048,NORMAL,NORMAL,0,RUNNING_WITH_WARNING,1,1,0,0
2026-06-13 18:28:25,25.9,62.7,NORMAL,876,0,NORMAL,1.323,0.1349,CRITICAL,CRITICAL,1,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:26,25.3,64.2,NORMAL,886,0,NORMAL,0.059,0.006,NORMAL,NORMAL,0,RUNNING_WITH_WARNING,1,1,0,0
2026-06-13 18:28:27,24.3,45.6,NORMAL,720,0,NORMAL,0.181,0.0185,NORMAL,NORMAL,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:28,25.6,52.0,NORMAL,822,0,NORMAL,0.087,0.0089,NORMAL,NORMAL,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:29,35.5,82.6,WARNING,942,0,NORMAL,0.055,0.0056,NORMAL,WARNING,0,RUNNING_WITH_WARNING,1,1,0,0
2026-06-13 18:28:30,21.5,48.2,NORMAL,980,0,NORMAL,0.506,0.0516,WARNING,WARNING,0,RUNNING_WITH_WARNING,1,0,0,0
2026-06-13 18:28:31,21.9,57.4,NORMAL,926,0,NORMAL,0.073,0.0074,NORMAL,NORMAL,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:32,25.6,66.9,NORMAL,880,0,NORMAL,0.165,0.0168,NORMAL,NORMAL,0,RUNNING_NORMAL,1,0,0,0
2026-06-13 18:28:33,27.4,58.3,NORMAL,940,0,NORMAL,0.692,0.0706,WARNING,WARNING,0,RUNNING_WITH_WARNING,1,0,0,0
